Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Arlo G. Garcia,Charles,Grade 8,2024-07-16,financial discomfort,,peer pressure,,stress,,misbehavior,,parents choice,,,conference with parent/guardian,
,Betty P. Ramos,Judiel,Grade 7,2024-07-17,parental pressure,,adjustment difficulties,,hospitalization,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Carlos T. Mendoza,Luke,Grade 10,2024-07-18,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,learning difficulties,,undecided,,,for assessment,
,Daphne F. Villanueva,Lorenzo,Grade 9,2024-07-19,financial discomfort,,incompatibilities,,poor health,,teacher/s,,no identified career,,,for follow-up,
,Eloise A. Reyes,Charles,Grade 8,2024-07-20,sibling rivalry,,mistrust,,low self-esteem,,laziness,,confusion,,,conference with parent/guardian,
,Ferdinand J. Aquino,Judiel,Grade 7,2024-07-21,lack of quality time,,bullying,,psychological disturbances,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Gwen L. Santos,Luke,Grade 10,2024-07-22,parental pressure,,peer pressure,,physical disabilities,,failing marks,,change of interest,,,for assessment,
,Hugo P. Ramos,Lorenzo,Grade 9,2024-07-23,sibling rivalry,,adjustment difficulties,,stress,,misbehavior,,undecided,,,for follow-up,
,Ismael R. Torres,Charles,Grade 8,2024-07-24,financial discomfort,,boy-girl relationship,,hospitalization,,transition to school life,,no identified career,,,conference with parent/guardian,
,Jessa T. Mendoza,Judiel,Grade 7,2024-07-25,parent-child misunderstanding,,incompatibilities,,gender confusion,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Kurt G. Villanueva,Luke,Grade 10,2024-07-26,lack of quality time,,mistrust,,poor health,,teacher/s,,parents choice,,,for assessment,
,Lyle P. Reyes,Lorenzo,Grade 9,2024-07-27,parental pressure,,bullying,,low self-esteem,,laziness,,change of interest,,,for follow-up,
,Monique F. Aquino,Charles,Grade 8,2024-07-28,parent-child misunderstanding,,peer pressure,,psychological disturbances,,difficult subjects,,undecided,,,conference with parent/guardian,
,Nicholas J. Ramos,Judiel,Grade 7,2024-07-29,financial discomfort,,adjustment difficulties,,physical disabilities,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Oliver L. Santos,Luke,Grade 10,2024-07-30,sibling rivalry,,boy-girl relationship,,stress,,misbehavior,,confusion,,,for assessment,
,Pippa T. Mendoza,Lorenzo,Grade 9,2024-07-31,lack of quality time,,incompatibilities,,hospitalization,,transition to school life,,parents choice,,,for follow-up,
,Quina R. Villanueva,Charles,Grade 8,2024-08-01,parental pressure,,mistrust,,gender confusion,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Adrian A. Santiago,Judiel,Grade 7,2024-08-02,lack of quality time,,bullying,,poor health,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Althea B. Bautista,Luke,Grade 10,2024-08-03,sibling rivalry,,peer pressure,,low self-esteem,,laziness,,no identified career,,,for assessment,
,Bianca C. Dela Cruz,Lorenzo,Grade 9,2024-08-04,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,difficult subjects,,confusion,,,for follow-up,
,Carlos D. Pineda,Charles,Grade 8,2024-08-05,financial discomfort,,boy-girl relationship,,physical disabilities,,failing marks,,parents choice,,,conference with parent/guardian,
,Daniela E. Lopez,Judiel,Grade 7,2024-08-06,parental pressure,,incompatibilities,,stress,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Elijah F. Navarro,Luke,Grade 10,2024-08-07,parent-child misunderstanding,,mistrust,,hospitalization,,transition to school life,,undecided,,,for assessment,
,Faith G. Ocampo,Padre Pio,Grade 9,2024-08-08,financial discomfort,,bullying,,gender confusion,,learning difficulties,,no identified career,,,for follow-up,
,Gabriel H. Velasquez,Charles,Grade 8,2024-08-09,sibling rivalry,,peer pressure,,poor health,,teacher/s,,confusion,,,conference with parent/guardian,
,Hannah I. Morales,Judiel,Grade 7,2024-08-10,lack of quality time,,adjustment difficulties,,low self-esteem,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Ivan J. Suarez,Luke,Grade 10,2024-08-11,parental pressure,,boy-girl relationship,,psychological disturbances,,misbehavior,,change of interest,,,for assessment,
,Jasmine K. Varela,Padre Pio,Grade 9,2024-08-12,sibling rivalry,,incompatibilities,,physical disabilities,,transition to school life,,undecided,,,for follow-up,
,Kiana L. Salazar,Charles,Grade 8,2024-08-13,financial discomfort,,mistrust,,stress,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Luis M. Macapagal,Judiel,Grade 7,2024-08-14,parent-child misunderstanding,,bullying,,hospitalization,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Maria N. Lim,Luke,Grade 10,2024-08-15,lack of quality time,,peer pressure,,gender confusion,,laziness,,undecided,,,for assessment,
,Nathaniel O. de Guzman,Padre Pio,Grade 9,2024-08-16,parental pressure,,incompatibilities,,physical disabilities,,difficult subjects,,no identified career,,,for follow-up,
,Olivia P. Mendoza,Christopher,Grade 8,2024-08-17,parent-child misunderstanding,,mistrust,,stress,,failing marks,,confusion,,,conference with parent/guardian,
,Patrick Q. Ferrer,Judiel,Grade 7,2024-08-18,financial discomfort,,bullying,,hospitalization,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Quincy R. Alvarado,Luke,Grade 10,2024-08-19,sibling rivalry,,peer pressure,,gender confusion,,transition to school life,,change of interest,,,for assessment,
,Rafael S. Flores,Padre Pio,Grade 9,2024-08-20,lack of quality time,,adjustment difficulties,,poor health,,learning difficulties,,undecided,,,for follow-up,
,Samira T. Santiago,Christopher,Grade 8,2024-08-21,parental pressure,,boy-girl relationship,,low self-esteem,,teacher/s,,no identified career,,,conference with parent/guardian,
,Teresa U. Reyes,Judiel,Grade 7,2024-08-22,lack of quality time,,incompatibilities,,psychological disturbances,,laziness,,confusion,,,conference with adviser/subject teacher,
,Uriel V. Soriano,Luke,Grade 10,2024-08-23,sibling rivalry,,mistrust,,physical disabilities,,difficult subjects,,parents choice,,,for assessment,
,Veronica W. Aguinaldo,Padre Pio,Grade 9,2024-08-24,parent-child misunderstanding,,bullying,,stress,,failing marks,,change of interest,,,for follow-up,
,Warren X. Mercado,Christopher,Grade 8,2024-08-25,financial discomfort,,peer pressure,,hospitalization,,misbehavior,,undecided,,,conference with parent/guardian,
,Xander Y. Alcantara,Judiel,Grade 7,2024-08-26,parental pressure,,adjustment difficulties,,gender confusion,,transition to school life,,no identified career,,,conference with adviser/subject teacher,
,Ysa Z. Pangilinan,Luke,Grade 10,2024-08-27,parent-child misunderstanding,,boy-girl relationship,,poor health,,learning difficulties,,confusion,,,for assessment,
,Zachary A. Ramos,Padre Pio,Grade 9,2024-08-28,financial discomfort,,incompatibilities,,low self-esteem,,teacher/s,,parents choice,,,for follow-up,
,Ana B. Bautista,Christopher,Grade 8,2024-08-29,sibling rivalry,,mistrust,,psychological disturbances,,laziness,,change of interest,,,conference with parent/guardian,
,Benicio C. Fernandez,Judiel,Grade 7,2024-08-30,lack of quality time,,bullying,,physical disabilities,,difficult subjects,,undecided,,,conference with adviser/subject teacher,
,Celine D. Ramos,Luke,Grade 10,2024-08-31,parental pressure,,peer pressure,,stress,,failing marks,,no identified career,,,for assessment,
,Dominic E. Santos,Padre Pio,Grade 9,2024-09-01,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,confusion,,,for follow-up,
,Eliza F. Dizon,Christopher,Grade 8,2024-09-02,financial discomfort,,boy-girl relationship,,gender confusion,,transition to school life,,parents choice,,,conference with parent/guardian,
,Franco G. Ledesma,Judiel,Grade 7,2024-09-03,parent-child misunderstanding,,incompatibilities,,poor health,,learning difficulties,,change of interest,,,conference with adviser/subject teacher,
,Gia H. Quintero,Luke,Grade 10,2024-09-04,lack of quality time,,mistrust,,low self-esteem,,teacher/s,,undecided,,,for assessment,
,Hector I. Vergara,Padre Pio,Grade 9,2024-09-05,parental pressure,,bullying,,psychological disturbances,,laziness,,no identified career,,,for follow-up,
,Iza J. Cruz,Christopher,Grade 8,2024-09-06,parent-child misunderstanding,,peer pressure,,physical disabilities,,difficult subjects,,confusion,,,conference with parent/guardian,
,Jerome K. Mendoza,Judiel,Grade 7,2024-09-07,financial discomfort,,adjustment difficulties,,stress,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Kylie L. Aquino,Luke,Grade 10,2024-09-08,sibling rivalry,,boy-girl relationship,,hospitalization,,misbehavior,,change of interest,,,for assessment,
,Lorenzo M. Manalo,Padre Pio,Grade 9,2024-09-09,lack of quality time,,incompatibilities,,gender confusion,,transition to school life,,undecided,,,for follow-up,
,Marcela N. Almonte,Christopher,Grade 8,2024-09-10,parental pressure,,mistrust,,poor health,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Niko O. Trinidad,Judiel,Grade 7,2024-09-11,lack of quality time,,bullying,,low self-esteem,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Oliver P. Santiago,Luke,Grade 10,2024-09-12,sibling rivalry,,peer pressure,,psychological disturbances,,laziness,,parents choice,,,for assessment,
,Pia Q. Morales,Padre Pio,Grade 9,2024-09-13,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,difficult subjects,,change of interest,,,for follow-up,
,Quinlan R. Lopez,Christopher,Grade 8,2024-09-14,financial discomfort,,boy-girl relationship,,stress,,failing marks,,undecided,,,conference with parent/guardian,
,Riel S. Villanueva,Judiel,Grade 7,2024-09-15,parental pressure,,incompatibilities,,hospitalization,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Sara T. Garcia,Luke,Grade 10,2024-09-16,parent-child misunderstanding,,mistrust,,gender confusion,,transition to school life,,confusion,,,for assessment,
,Tristan U. de la Cruz,Padre Pio,Grade 9,2024-09-17,financial discomfort,,bullying,,poor health,,learning difficulties,,parents choice,,,for follow-up,
,Ulysses V. Cruz,Christopher,Grade 8,2024-09-18,sibling rivalry,,peer pressure,,low self-esteem,,teacher/s,,change of interest,,,conference with parent/guardian,
,Veronica W. Rivera,Judiel,Grade 7,2024-09-19,lack of quality time,,adjustment difficulties,,psychological disturbances,,laziness,,undecided,,,conference with adviser/subject teacher,
,Wilfredo X. Cruz,Luke,Grade 10,2024-09-20,parental pressure,,boy-girl relationship,,physical disabilities,,difficult subjects,,no identified career,,,for assessment,
,Xyra Y. Chua,Padre Pio,Grade 9,2024-09-21,sibling rivalry,,incompatibilities,,stress,,failing marks,,confusion,,,for follow-up,
,Yannis Z. Bautista,Christopher,Grade 8,2024-09-22,financial discomfort,,mistrust,,hospitalization,,misbehavior,,parents choice,,,conference with parent/guardian,
,Zoey A. Caballero,Raphael,Grade 7,2024-09-23,parent-child misunderstanding,,bullying,,gender confusion,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Axel B. Navarro,Luke,Grade 10,2024-09-24,lack of quality time,,peer pressure,,poor health,,learning difficulties,,undecided,,,for assessment,
,Belen C. Gutierrez,Padre Pio,Grade 9,2024-09-25,parental pressure,,adjustment difficulties,,low self-esteem,,teacher/s,,no identified career,,,for follow-up,
,Caesar D. Luna,Christopher,Grade 8,2024-09-26,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,laziness,,confusion,,,conference with parent/guardian,
,Dianne E. Santos,Raphael,Grade 7,2024-09-27,financial discomfort,,incompatibilities,,physical disabilities,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Emmanuel F. Abad,Luke,Grade 10,2024-09-28,sibling rivalry,,mistrust,,stress,,failing marks,,change of interest,,,for assessment,
,Felicia G. Alvarez,Padre Pio,Grade 9,2024-09-29,lack of quality time,,bullying,,hospitalization,,misbehavior,,undecided,,,for follow-up,
,Gian H. de Guzman,Christopher,Grade 8,2024-09-30,parental pressure,,peer pressure,,gender confusion,,transition to school life,,no identified career,,,conference with parent/guardian,
,Harold I. Robles,Raphael,Grade 7,2024-10-01,lack of quality time,,adjustment difficulties,,poor health,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Isobel J. Rojas,Mathew,Grade 10,2024-10-02,sibling rivalry,,boy-girl relationship,,low self-esteem,,teacher/s,,parents choice,,,for assessment,
,Jeffrey K. Estrada,Padre Pio,Grade 9,2024-10-03,parent-child misunderstanding,,incompatibilities,,psychological disturbances,,laziness,,change of interest,,,for follow-up,
,Kendra L. Valdez,Christopher,Grade 8,2024-10-04,financial discomfort,,mistrust,,physical disabilities,,difficult subjects,,undecided,,,conference with parent/guardian,
,Luis M. de la Rosa,Raphael,Grade 7,2024-10-05,parental pressure,,bullying,,stress,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Marisol N. Catapang,Mathew,Grade 10,2024-10-06,parent-child misunderstanding,,peer pressure,,hospitalization,,misbehavior,,confusion,,,for assessment,
,Noel O. Garcia,Padre Pio,Grade 9,2024-10-07,financial discomfort,,adjustment difficulties,,gender confusion,,transition to school life,,parents choice,,,for follow-up,
,Odessa P. Ramos,Christopher,Grade 8,2024-10-08,parental pressure,,boy-girl relationship,,poor health,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Pedro Q. Tan,Raphael,Grade 7,2024-10-09,lack of quality time,,incompatibilities,,low self-esteem,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Quinby R. Garcia,Mathew,Grade 10,2024-10-10,financial discomfort,,mistrust,,psychological disturbances,,laziness,,no identified career,,,for assessment,
,Roxanne S. Liwanag,Padre Pio,Grade 9,2024-10-11,sibling rivalry,,bullying,,physical disabilities,,difficult subjects,,confusion,,,for follow-up,
,Samson T. Gamboa,Christopher,Grade 8,2024-10-12,parent-child misunderstanding,,peer pressure,,stress,,failing marks,,parents choice,,,conference with parent/guardian,
,Tanya U. Mendoza,Raphael,Grade 7,2024-10-13,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Ulysses V. Santos,Mathew,Grade 10,2024-10-14,parental pressure,,boy-girl relationship,,gender confusion,,transition to school life,,undecided,,,for assessment,
,Violeta W. Garcia,Padre Pio,Grade 9,2024-10-15,lack of quality time,,incompatibilities,,poor health,,learning difficulties,,no identified career,,,for follow-up,
,Warren X. Gutierrez,Christopher,Grade 8,2024-10-16,parent-child misunderstanding,,mistrust,,low self-esteem,,teacher/s,,confusion,,,conference with parent/guardian,
,Xian Y. Cabrera,Raphael,Grade 7,2024-10-17,financial discomfort,,bullying,,psychological disturbances,,laziness,,parents choice,,,conference with adviser/subject teacher,
,Yvette Z. Hernandez,Mathew,Grade 10,2024-10-18,lack of quality time,,peer pressure,,physical disabilities,,difficult subjects,,change of interest,,,for assessment,
,Zackery A. Cruz,Andrew,Grade 9,2024-10-19,sibling rivalry,,adjustment difficulties,,stress,,failing marks,,undecided,,,for follow-up,
,Andrea B. Fajardo,Christopher,Grade 8,2024-10-20,parent-child misunderstanding,,boy-girl relationship,,hospitalization,,misbehavior,,no identified career,,,conference with parent/guardian,
,Brandon C. Garcia,Raphael,Grade 7,2024-10-21,financial discomfort,,incompatibilities,,gender confusion,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Camille D. Mercado,Mathew,Grade 10,2024-10-22,parental pressure,,mistrust,,poor health,,learning difficulties,,parents choice,,,for assessment,
,Derek E. Tan,Andrew,Grade 9,2024-10-23,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,change of interest,,,for follow-up,
,Eloise F. de la Cruz,Francis,Grade 8,2024-10-24,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,undecided,,,conference with parent/guardian,
,Franco G. Lim,Raphael,Grade 7,2024-10-25,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Grace H. Geronimo,Mathew,Grade 10,2024-10-26,financial discomfort,,boy-girl relationship,,stress,,failing marks,,confusion,,,for assessment,
,Henry I. Santos,Andrew,Grade 9,2024-10-27,parental pressure,,incompatibilities,,hospitalization,,misbehavior,,parents choice,,,for follow-up,
,Ivy J. Cordero,Francis,Grade 8,2024-10-28,financial discomfort,,mistrust,,gender confusion,,transition to school life,,change of interest,,,conference with parent/guardian,
,Jason K. Garcia,Raphael,Grade 7,2024-10-29,sibling rivalry,,bullying,,poor health,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Kirsten L. Tan,Mathew,Grade 10,2024-10-30,parent-child misunderstanding,,peer pressure,,low self-esteem,,teacher/s,,no identified career,,,for assessment,
,Leo M. Salvador,Andrew,Grade 9,2024-10-31,lack of quality time,,adjustment difficulties,,psychological disturbances,,laziness,,confusion,,,for follow-up,
,Maxine N. San Juan,Francis,Grade 8,2024-11-01,parental pressure,,boy-girl relationship,,physical disabilities,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Nico O. de Vera,Raphael,Grade 7,2024-11-02,parent-child misunderstanding,,incompatibilities,,stress,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Olive P. Santos,Mathew,Grade 10,2024-11-03,financial discomfort,,mistrust,,hospitalization,,misbehavior,,undecided,,,for assessment,
,Pauline Q. Cordero,Andrew,Grade 9,2024-11-04,sibling rivalry,,bullying,,gender confusion,,transition to school life,,no identified career,,,for follow-up,
,Quiana R. Roxas,Francis,Grade 8,2024-11-05,lack of quality time,,peer pressure,,poor health,,learning difficulties,,confusion,,,conference with parent/guardian,
,Robin S. Tolentino,Raphael,Grade 7,2024-11-06,parental pressure,,adjustment difficulties,,low self-esteem,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Sheila T. Padilla,Mathew,Grade 10,2024-11-07,sibling rivalry,,boy-girl relationship,,psychological disturbances,,laziness,,change of interest,,,for assessment,
,Theodore U. Reyes,Andrew,Grade 9,2024-11-08,financial discomfort,,incompatibilities,,physical disabilities,,difficult subjects,,undecided,,,for follow-up,
,Ursula V. Roca,Francis,Grade 8,2024-11-09,parent-child misunderstanding,,mistrust,,stress,,failing marks,,no identified career,,,conference with parent/guardian,
,Violeta W. Mendoza,Raphael,Grade 7,2024-11-10,lack of quality time,,bullying,,hospitalization,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Willard X. Dela Cruz,Mathew,Grade 10,2024-11-11,parental pressure,,peer pressure,,gender confusion,,transition to school life,,parents choice,,,for assessment,
,Xenia Y. Alonzo,Andrew,Grade 9,2024-11-12,parent-child misunderstanding,,adjustment difficulties,,poor health,,learning difficulties,,change of interest,,,for follow-up,
,Yvonne Z. Tolentino,Francis,Grade 8,2024-11-13,financial discomfort,,boy-girl relationship,,low self-esteem,,teacher/s,,undecided,,,conference with parent/guardian,
,Zoe A. Alonzo,Raphael,Grade 7,2024-11-14,sibling rivalry,,incompatibilities,,psychological disturbances,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Arnold B. Cruz,Mathew,Grade 10,2024-11-15,lack of quality time,,mistrust,,physical disabilities,,difficult subjects,,confusion,,,for assessment,
,Bella C. Alvarez,Andrew,Grade 9,2024-11-16,parental pressure,,bullying,,stress,,failing marks,,parents choice,,,for follow-up,
,Caren D. Lanuza,Francis,Grade 8,2024-11-17,lack of quality time,,peer pressure,,hospitalization,,misbehavior,,change of interest,,,conference with parent/guardian,
,Damian E. Santos,Raphael,Grade 7,2024-11-18,sibling rivalry,,adjustment difficulties,,gender confusion,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Eliza F. Marquez,Mathew,Grade 10,2024-11-19,parent-child misunderstanding,,boy-girl relationship,,poor health,,learning difficulties,,no identified career,,,for assessment,
,Fabian G. Uy,Andrew,Grade 9,2024-11-20,financial discomfort,,incompatibilities,,low self-esteem,,teacher/s,,confusion,,,for follow-up,
,Giselle H. Villalobos,Francis,Grade 8,2024-11-21,parental pressure,,mistrust,,psychological disturbances,,laziness,,parents choice,,,conference with parent/guardian,
,Hector I. Villanueva,Raphael,Grade 7,2024-11-22,parent-child misunderstanding,,bullying,,physical disabilities,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Ingrid J. Peralta,Mathew,Grade 10,2024-11-23,financial discomfort,,peer pressure,,stress,,failing marks,,undecided,,,for assessment,
,Jomar K. Gochangco,Andrew,Grade 9,2024-11-24,sibling rivalry,,adjustment difficulties,,hospitalization,,misbehavior,,no identified career,,,for follow-up,
,Kaleb L. Almeda,Francis,Grade 8,2024-11-25,lack of quality time,,boy-girl relationship,,gender confusion,,transition to school life,,confusion,,,conference with parent/guardian,
,Laila M. Serrano,Raphael,Grade 7,2024-11-26,parental pressure,,incompatibilities,,poor health,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Miguel N. Delos Reyes,Mathew,Grade 10,2024-11-27,sibling rivalry,,mistrust,,low self-esteem,,teacher/s,,change of interest,,,for assessment,
,Nadia O. Tablante,Andrew,Grade 9,2024-11-28,financial discomfort,,bullying,,psychological disturbances,,laziness,,undecided,,,for follow-up,
,Omar P. Santos,Francis,Grade 8,2024-11-29,parent-child misunderstanding,,peer pressure,,physical disabilities,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Pilar Q. Benitez,Raphael,Grade 7,2024-11-30,lack of quality time,,adjustment difficulties,,stress,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Quincey R. Fuentes,Mathew,Grade 10,2024-12-01,parental pressure,,boy-girl relationship,,hospitalization,,misbehavior,,parents choice,,,for assessment,
,Ricardo S. Tolentino,Andrew,Grade 9,2024-12-02,parent-child misunderstanding,,incompatibilities,,gender confusion,,transition to school life,,change of interest,,,for follow-up,
,Sylvester T. Magpantay,Francis,Grade 8,2024-12-03,financial discomfort,,mistrust,,poor health,,learning difficulties,,undecided,,,conference with parent/guardian,
,Tanya U. Baluyot,Raphael,Grade 7,2024-12-04,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Uriel V. Alipio,Mathew,Grade 10,2024-12-05,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,confusion,,,for assessment,
,Vance W. Aquino,Andrew,Grade 9,2024-12-06,parental pressure,,adjustment difficulties,,physical disabilities,,difficult subjects,,parents choice,,,for follow-up,
,Winnie X. Valenzuela,Francis,Grade 8,2024-12-07,lack of quality time,,boy-girl relationship,,stress,,failing marks,,change of interest,,,conference with parent/guardian,
,Xavier Y. Sandoval,Raphael,Grade 7,2024-12-08,sibling rivalry,,incompatibilities,,hospitalization,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Yasmine Z. Pineda,Mathew,Grade 10,2024-12-09,parent-child misunderstanding,,mistrust,,gender confusion,,transition to school life,,no identified career,,,for assessment,
,Zane A. Francisco,Andrew,Grade 9,2024-12-10,financial discomfort,,bullying,,poor health,,learning difficulties,,confusion,,,for follow-up,
,Andrei B. Morales,Francis,Grade 8,2024-12-11,parental pressure,,peer pressure,,low self-esteem,,teacher/s,,parents choice,,,conference with parent/guardian,
,Ashley C. Dela Cruz,Raphael,Grade 7,2024-12-12,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Brian D. Cortez,Mathew,Grade 10,2024-12-13,financial discomfort,,boy-girl relationship,,physical disabilities,,difficult subjects,,undecided,,,for assessment,
,Carol E. Alcaraz,Andrew,Grade 9,2024-12-14,sibling rivalry,,incompatibilities,,stress,,failing marks,,no identified career,,,for follow-up,
,Charlie F. Reyes,Francis,Grade 8,2024-12-15,lack of quality time,,mistrust,,hospitalization,,misbehavior,,confusion,,,conference with parent/guardian,
,Clara G. Mendoza,Sealtiel,Grade 7,2024-12-16,parental pressure,,bullying,,gender confusion,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Danica H. Valdez,Mathew,Grade 10,2024-12-17,sibling rivalry,,peer pressure,,poor health,,learning difficulties,,change of interest,,,for assessment,
,Elian I. Castro,Andrew,Grade 9,2024-12-18,financial discomfort,,adjustment difficulties,,low self-esteem,,teacher/s,,undecided,,,for follow-up,
,Enrique J. Herrera,Francis,Grade 8,2024-12-19,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,laziness,,no identified career,,,conference with parent/guardian,
,Ethan K. Aquino,Sealtiel,Grade 7,2024-12-20,lack of quality time,,incompatibilities,,physical disabilities,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Eugenia L. Bautista,Mathew,Grade 10,2024-12-21,parental pressure,,mistrust,,stress,,failing marks,,parents choice,,,for assessment,
,Fiona M. Ocampo,Andrew,Grade 9,2024-12-22,parent-child misunderstanding,,bullying,,hospitalization,,misbehavior,,change of interest,,,for follow-up,
,Francisco N. Garcia,Francis,Grade 8,2024-12-23,financial discomfort,,peer pressure,,gender confusion,,transition to school life,,undecided,,,conference with parent/guardian,
,Gabrielle O. Rosario,Sealtiel,Grade 7,2024-12-24,sibling rivalry,,adjustment difficulties,,poor health,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Gabriel P. Becerra,Paul,Grade 10,2024-12-25,lack of quality time,,boy-girl relationship,,low self-esteem,,teacher/s,,confusion,,,for assessment,
,Geraldine Q. Bautista,Andrew,Grade 9,2024-12-26,parental pressure,,incompatibilities,,psychological disturbances,,laziness,,parents choice,,,for follow-up,
,Hector R. Hernandez,Francis,Grade 8,2024-12-27,lack of quality time,,mistrust,,physical disabilities,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Ivan S. Mendoza,Sealtiel,Grade 7,2024-12-28,sibling rivalry,,bullying,,stress,,failing marks,,undecided,,,for follow-up,
,Jade T. Santos,Paul,Grade 10,2024-12-29,parent-child misunderstanding,,peer pressure,,hospitalization,,misbehavior,,no identified career,,,conference with parent/guardian,
,Jasmine U. Velasquez,Andrew,Grade 9,2024-12-30,financial discomfort,,adjustment difficulties,,gender confusion,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Jerome V. Macalino,Martin,Grade 8,2024-12-31,parental pressure,,boy-girl relationship,,poor health,,learning difficulties,,parents choice,,,for assessment,
,Jessica W. de Guzman,Sealtiel,Grade 7,2025-01-01,parent-child misunderstanding,,incompatibilities,,low self-esteem,,teacher/s,,change of interest,,,for follow-up,
,Joanna X. Dela Cruz,Paul,Grade 10,2025-01-02,financial discomfort,,mistrust,,psychological disturbances,,laziness,,undecided,,,conference with parent/guardian,
,John Y. Tan,Andrew,Grade 9,2025-01-03,sibling rivalry,,bullying,,physical disabilities,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Jordan Z. Santos,Martin,Grade 8,2025-01-04,lack of quality time,,peer pressure,,stress,,failing marks,,confusion,,,for assessment,
,Josiah A. Malabanan,Sealtiel,Grade 7,2025-01-05,parental pressure,,adjustment difficulties,,hospitalization,,misbehavior,,parents choice,,,for follow-up,
,Juan B. Pineda,Paul,Grade 10,2025-01-06,sibling rivalry,,boy-girl relationship,,gender confusion,,transition to school life,,change of interest,,,conference with parent/guardian,
,Julia C. Esteban,Andrew,Grade 9,2025-01-07,financial discomfort,,incompatibilities,,poor health,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Justin D. Dela Cruz,Martin,Grade 8,2025-01-08,parent-child misunderstanding,,mistrust,,low self-esteem,,teacher/s,,no identified career,,,for assessment,
,Karen E. de Guzman,Sealtiel,Grade 7,2025-01-09,lack of quality time,,bullying,,psychological disturbances,,laziness,,confusion,,,for follow-up,
,Karla F. Alvarado,Paul,Grade 10,2025-01-10,parental pressure,,peer pressure,,physical disabilities,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Kiana G. Panganiban,Andrew,Grade 9,2025-01-11,parent-child misunderstanding,,adjustment difficulties,,stress,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Kimberly H. Valencia,Martin,Grade 8,2025-01-12,financial discomfort,,boy-girl relationship,,hospitalization,,misbehavior,,undecided,,,for assessment,
